name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Takara Bio Inc. ,4974.TSE,Japan,Biotechnology,1113,506,120
Heiwa Real Estate REIT Inc. ,8966.TSE,Japan,Diversified REITs,1113,114,1
Samyang Foods Co. Ltd. ,003230.KO,South Korea,Packaged Foods and Meats,1112,746,8
PAL GROUP Holdings CO. LTD. ,2726.TSE,Japan,Apparel Retail,1111,1233,87
Solum Co. Ltd. ,248070.KO,South Korea,Electronic Components,1110,1509,49
DCM Holdings Co. Ltd. ,3050.TSE,Japan,Home Improvement Retail,1110,3483,134
LINTEC Corporation ,7966.TSE,Japan,Commodity Chemicals,1110,1938,68
SL Corporation ,005850.KO,South Korea,Automotive Parts and Equipment,1108,3629,46
Taihan Cable & Solution Co. Ltd. ,001440.KO,South Korea,Electrical Components and Equipment,1108,2036,124
Sam-A Aluminium Company Limited ,006110.KO,South Korea,Aluminum,1108,223,15
Sakura Development Co.Ltd ,2539.TW,Taiwan,Real Estate Development,1106,171,855
Hoshino Resorts REIT Inc. ,3287.TSE,Japan,Hotel and Resort REITs,1105,89,0
Arcadyan Technology Corporation ,3596.TW,Taiwan,Communications Equipment,1105,1577,220
Osaka Soda Co. Ltd. ,4046.TSE,Japan,Specialty Chemicals,1104,703,25
China Petrochemical Development Corporation ,1314.TW,Taiwan,Commodity Chemicals,1103,694,3785
LOTTE Fine Chemical Co. Ltd. ,004000.KO,South Korea,Diversified Chemicals,1100,1580,26
Trusco Nakayama Corporation ,9830.TSE,Japan,Trading Companies and Distributors,1091,1779,66
Sanyo Special Steel Co. Ltd. ,5481.TSE,Japan,Steel,1090,2695,55
KEPCO Plant Service & Engineering Co.Ltd. ,051600.KO,South Korea,Diversified Support Services,1089,1140,45
Nippon Paper Industries Co. Ltd. ,3863.TSE,Japan,Paper Products,1085,8129,115
Appier Group Inc. ,4180.TSE,Japan,Application Software,1085,156,102
Tadano Ltd. ,6395.TSE,Japan,Construction Machinery and Heavy Transportation Equipment,1082,1944,127
NIPPON REIT Investment Corporation ,3296.TSE,Japan,Diversified REITs,1078,120,1
Cosmax Inc. ,192820.KO,South Korea,Personal Care Products,1078,1275,11
Orient Semiconductor Electronics Limited ,2329.TW,Taiwan,Semiconductors,1077,470,826
ARIAKE JAPAN Co. Ltd. ,2815.TSE,Japan,Packaged Foods and Meats,1073,388,32
Aeon Delight Co. Ltd. ,9787.TSE,Japan,Environmental and Facilities Services,1072,2227,49
Open Up Group Inc. ,2154.TSE,Japan,Human Resource and Employment Services,1070,1118,87
Brighton-Best International (Taiwan) Inc. ,8415.TWO,Taiwan,Trading Companies and Distributors,1070,840,1023
Toagosei Co. Ltd. ,4045.TSE,Japan,Diversified Chemicals,1064,1105,118
Digital Garage Inc. ,4819.TSE,Japan,IT Consulting and Other Services,1063,156,45
Standard Foods Corporation ,1227.TW,Taiwan,Packaged Foods and Meats,1062,911,908
Medley Inc. ,4480.TSE,Japan,Health Care Technology,1062,124,32
Makino Milling Machine Co. Ltd. ,6135.TSE,Japan,Industrial Machinery and Supplies and Components,1062,1628,24
MEGMILK SNOW BRAND Co.Ltd. ,2270.TSE,Japan,Packaged Foods and Meats,1061,4102,68
ST Pharm Co.Ltd. ,237690.KQ,South Korea,Life Sciences Tools and Services,1061,205,19
Kureha Corporation ,4023.TSE,Japan,Commodity Chemicals,1060,1285,19
KeePer Technical Laboratory Co. Ltd. ,6036.TSE,Japan,Specialty Chemicals,1058,118,27
SENKO Group Holdings Co. Ltd. ,9069.TSE,Japan,Air Freight and Logistics,1058,4975,150
Fukuyama Transporting Co. Ltd. ,9075.TSE,Japan,Cargo Ground Transportation,1054,2019,41
