symbol,name,country,industry,Market Capitalization,Total Revenue,Shares Outstanding (mm),shares,currency,jakota_indicies,
4732.TSE,USS Co. Ltd.,Japan,Automotive Retail,3943,633,240,"239,627,008",JPY,[consumer-50],
003280.KO,Heung-A Shipping Co.Ltd.,South Korea,Marine Transportation,286,144,240,"240,264,992",KRW,[],
1963.TSE,JGC Holdings Corporation,Japan,Construction and Engineering,3432,4624,241,"240,660,992",JPY,[],
1477.TW,Makalot Industrial Co. Ltd.,Taiwan,Apparel Accessories and Luxury Goods,2524,1021,242,"241,856,992",TWD,[consumer-50],
330590.KO,LOTTE REIT Co. Ltd.,South Korea,Retail REITs,586,89,243,"242,968,992",KRW,[],
1514.TW,Allis Electric Co.Ltd.,Taiwan,Electrical Components and Equipment,393,269,244,"244,034,000",TWD,[],
3712.TW,FIT Holding Co. Ltd.,Taiwan,Electronic Equipment and Instruments,256,398,246,"246,242,000",TWD,[tech-100],
1231.TW,Lian Hwa Foods Corporation,Taiwan,Packaged Foods and Meats,676,353,247,"246,656,000",TWD,[],
3941.TSE,Rengo Co. Ltd.,Japan,Paper and Plastic Packaging Products and Materials,1736,6015,248,"247,690,000",JPY,[],
6125.TWO,Kenmec Mechanical Engineering Co. Ltd.,Taiwan,Industrial Machinery and Supplies and Components,495,188,248,"248,076,992",TWD,[],
8936.TWO,Kuo Toong International Co. Ltd.,Taiwan,Construction and Engineering,254,112,248,"248,078,000",TWD,[],
1702.TW,Namchow Holdings Co. Ltd.,Taiwan,Packaged Foods and Meats,381,692,248,"248,092,000",TWD,[],
9930.TW,CHC Resources Corporation,Taiwan,Construction Materials,446,381,249,"248,540,000",TWD,[],
3035.TW,Faraday Technology Corporation,Taiwan,Semiconductors,2362,407,249,"248,550,000",TWD,[],
4105.TWO,TTY Biopharm Company Limited,Taiwan,Pharmaceuticals,596,170,249,"248,650,000",TWD,[],
5425.TWO,Taiwan Semiconductor Co. Ltd.,Taiwan,Semiconductors,660,493,249,"248,684,992",TWD,[],
8616.TSE,Tokai Tokyo Financial Holdings Inc.,Japan,Investment Banking and Brokerage,832,502,249,"248,955,008",JPY,[],
1708.TW,Sesoda Corporation,Taiwan,Fertilizers and Agricultural Chemicals,241,230,249,"249,002,000",TWD,[],
1773.TW,Shiny Chemical Industrial Co. Ltd.,Taiwan,Specialty Chemicals,1013,323,250,"250,000,000",TWD,[],
6214.TW,Systex Corporation,Taiwan,IT Consulting and Other Services,826,1100,251,"250,892,992",TWD,[],
2421.TW,Sunonwealth Electric Machine Industry Co. Ltd.,Taiwan,Industrial Machinery and Supplies and Components,908,443,251,"250,930,000",TWD,[],
8346.TSE,The Toho Bank Ltd.,Japan,Regional Banks,491,378,252,"252,056,992",JPY,[],
