symbol,name,country,industry,shares,currency,indicies
2733.TSE,Arata Corporation,Japan,Distributors,"17,077,500",JPY,[]
3596.TW,Arcadyan Technology Corporation,Taiwan,Communications Equipment,"220,354,000",TWD,[tech-100]
9842.TSE,Arclands Corporation,Japan,Home Improvement Retail,"67,325,904",JPY,[consumer-50]
9948.TSE,ARCS Company Limited,Japan,Food Retail,"55,178,800",JPY,[consumer-50]
3264.TWO,Ardentec Corporation,Taiwan,Semiconductors,"473,920,000",TWD,[]
5857.TSE,ARE Holdings Inc.,Japan,Precious Metals and Minerals,"76,643,200",JPY,[]
8914.TSE,Arealink Co. Ltd.,Japan,Real Estate Operating Companies,"12,677,500",JPY,[]
7595.TSE,ARGO GRAPHICS Inc.,Japan,IT Consulting and Other Services,"21,318,900",JPY,[]
3217.TWO,Argosy Research Inc.,Taiwan,Electronic Equipment and Instruments,"90,104,000",TWD,[tech-100]
2815.TSE,ARIAKE JAPAN Co. Ltd.,Japan,Packaged Foods and Meats,"31,849,700",JPY,[]
4423.TSE,ARTERIA Networks Corporation,Japan,Alternative Carriers,"49,940,500",JPY,[]
6140.TSE,Asahi Diamond Industrial Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,"51,554,700",JPY,[]
4216.TSE,Asahi Yukizai Corporation,Japan,Commodity Chemicals,"19,158,300",JPY,[]
1852.TSE,Asanuma Corporation,Japan,Construction and Engineering,"16,144,400",JPY,[]
183190.KO,Asia Cement Co.Ltd.,South Korea,Construction Materials,"38,958,090",KRW,[]
3019.TW,Asia Optical Co. Inc.,Taiwan,Electronic Components,"279,244,000",TWD,[tech-100]
3682.TW,Asia Pacific Telecom Co. Ltd.,Taiwan,Integrated Telecommunication Services,"4,215,780,096",TWD,[]
002310.KO,Asia Paper Manufacturing.Co.Ltd,South Korea,Paper Products,"8,956,502",KRW,[]
1308.TW,Asia Polymer Corporation,Taiwan,Commodity Chemicals,"593,742,976",TWD,[]
3017.TW,Asia Vital Components Co. Ltd.,Taiwan,Technology Hardware Storage and Peripherals,"383,310,016",TWD,[]
4886.TSE,ASKA Pharmaceutical Holdings Co.Ltd.,Japan,Pharmaceuticals,"28,283,200",JPY,[]
2678.TSE,ASKUL Corporation,Japan,Broadline Retail,"97,456,400",JPY,[consumer-50]
5269.TW,ASMedia Technology Inc.,Taiwan,Semiconductors,"69,363,504",TWD,[]
5274.TWO,ASPEED Technology Inc.,Taiwan,Semiconductors,"37,821,000",TWD,[]
3515.TW,ASROCK Incorporation,Taiwan,Technology Hardware Storage and Peripherals,"121,980,000",TWD,[]
6277.TW,Aten International Co. Ltd,Taiwan,Technology Hardware Storage and Peripherals,"119,471,000",TWD,[]
7412.TSE,ATOM Corporation,Japan,Restaurants,"193,106,000",JPY,[]
3964.TSE,Aucnet Inc.,Japan,Specialized Consumer Services,"23,732,200",JPY,[]
2409.TW,AUO Corporation,Taiwan,Electronic Components,"7,667,879,936",TWD,[tech-100]
3324.TWO,Auras Technology Co. Ltd.,Taiwan,Technology Hardware Storage and Peripherals,"86,094,096",TWD,[]
2373.TW,Aurora Corporation,Taiwan,Technology Distributors,"223,706,000",TWD,[]
9832.TSE,Autobacs Seven Co. Ltd.,Japan,Automotive Retail,"77,948,096",JPY,[consumer-50]
3836.TSE,Avant Group Corporation,Japan,IT Consulting and Other Services,"37,642,900",JPY,[]
8255.TSE,Axial Retailing Inc.,Japan,Food Retail,"22,633,300",JPY,[consumer-50]
9090.TSE,AZ-COM MARUWA Holdings Inc.,Japan,Air Freight and Logistics,"125,850,000",JPY,[]
6845.TSE,Azbil Corporation,Japan,Electronic Equipment and Instruments,"131,994,000",JPY,[tech-100]
3496.TSE,Azoom Co.Ltd,Japan,Real Estate Services,"5,952,060",JPY,[]
2268.TSE,B-R 31 Ice Cream Co.Ltd.,Japan,Restaurants,"9,635,880",JPY,[]
5195.TSE,Bando Chemical Industries Ltd.,Japan,Industrial Machinery and Supplies and Components,"43,759,000",JPY,[]
2836.TW,Bank of Kaohsiung Co. Ltd.,Taiwan,Regional Banks,"1,234,300,032",TWD,[]
8399.TSE,Bank of The Ryukyus Limited,Japan,Regional Banks,"41,549,500",JPY,[]
5340.TWO,Baotek Industrial Materials Ltd.,Taiwan,Electronic Equipment and Instruments,"194,894,000",TWD,[tech-100]
4481.TSE,Base Co. Ltd.,Japan,IT Consulting and Other Services,"18,199,900",JPY,[]
